"lengthFeet","speedLimit","numLanes","dividedTraffic","trafficLights","stopSigns","pedCrossings","dayOfWeek","holiday","timeOfDayMinutes","cloudWeather","cloudTraffic","cloudEvent","localWeather","localTraffic","localEvent","actualTravelTimeSeconds"
300,55,6,0,1,0,1,0,0,921,0,2,0,0,2,0,3
3000,45,1,0,3,0,0,2,0,502,0,3,0,0,3,0,112
300,55,2,1,1,0,1,1,0,561,0,2,0,0,2,0,4
3000,55,1,0,3,0,3,3,0,1191,1,1,0,1,2,0,94
900,15,2,1,0,0,1,5,0,402,0,3,0,0,3,0,74
2400,35,1,1,1,0,1,0,0,727,0,1,0,0,1,0,62
600,35,4,1,1,1,1,3,0,622,0,2,0,1,2,0,18
3000,55,2,1,2,1,0,2,0,1095,0,2,0,0,2,0,68
1500,15,2,0,0,1,4,4,0,1148,1,3,0,1,3,0,201
600,15,2,1,1,1,1,1,0,1264,2,0,0,2,0,0,64
1500,25,3,1,0,0,0,2,0,41,0,0,0,0,0,0,40
1500,45,4,0,0,1,1,5,0,422,0,3,0,1,3,0,47
3000,55,1,0,2,1,1,5,0,971,2,3,0,2,4,0,144
2100,25,1,1,0,0,1,2,0,929,0,3,0,0,3,0,116
2100,35,1,0,0,1,2,1,0,650,1,2,0,1,2,0,106
900,35,3,0,1,1,2,1,0,1021,0,2,0,0,1,0,28
2100,15,2,1,0,5,1,4,0,1098,1,3,0,1,3,0,341
1800,35,2,0,1,0,1,3,0,444,0,4,0,0,3,1,257
3000,55,2,0,1,0,0,5,0,781,1,3,0,1,3,0,96
2100,25,3,0,2,3,1,4,0,1031,0,2,0,0,2,0,137
1800,15,1,1,1,1,2,1,1,630,1,1,0,1,1,0,174
3000,45,1,0,1,1,0,1,0,955,0,4,0,0,4,0,133
1200,25,2,1,0,2,2,0,0,560,0,3,0,0,3,0,76
2100,45,4,0,0,0,1,2,0,909,0,1,0,0,1,0,32
300,35,2,1,0,0,0,4,0,1071,3,3,0,3,3,0,16
1800,15,2,0,0,1,3,5,0,1057,0,2,0,0,2,0,162
1200,35,2,0,0,1,0,2,1,608,1,1,0,1,1,0,45
300,35,1,0,0,0,0,2,0,778,0,1,0,0,1,0,7
1200,45,1,0,0,0,2,2,0,1061,2,3,0,2,3,0,59
2100,25,1,1,1,0,6,6,0,621,0,1,0,0,1,0,91
2100,15,1,1,0,1,1,3,0,422,0,2,0,0,2,0,180
3000,25,3,1,0,0,1,5,0,1166,0,1,0,0,1,0,85
600,15,2,0,1,0,1,6,0,941,0,3,0,0,3,0,58
2700,55,1,1,0,3,0,5,0,1186,1,0,0,1,0,0,74
2100,35,2,0,6,1,1,2,0,1183,2,2,0,2,2,0,140
3000,45,4,0,1,0,2,4,0,810,0,1,0,0,1,0,54
1200,35,2,1,2,0,1,2,0,703,0,2,0,0,2,0,37
3000,15,1,0,1,0,1,6,0,1139,0,2,0,0,2,0,266
300,15,2,1,1,0,1,2,1,199,1,0,0,1,0,0,21
1200,35,1,0,1,0,1,2,0,1342,1,1,0,1,1,0,47
2100,55,2,1,1,3,1,4,0,848,1,0,0,1,0,0,62
300,55,1,0,0,1,1,3,0,491,0,2,0,0,2,0,6
2100,35,4,1,1,2,2,2,0,1403,0,1,0,0,1,0,68
2700,55,2,0,0,0,0,2,0,369,2,0,0,2,0,0,66
3000,15,1,0,0,0,1,5,0,460,0,3,0,0,3,0,307
1800,45,1,0,1,1,4,6,0,899,0,0,0,0,0,0,42
600,55,1,0,0,1,0,5,0,434,0,1,0,0,1,0,11
900,55,2,1,1,2,0,0,0,317,1,0,0,1,0,0,23
900,55,3,1,2,1,1,1,0,866,1,0,0,1,0,0,22
900,25,1,1,1,0,2,0,0,427,2,2,0,2,2,0,67
600,45,2,1,0,0,2,4,0,518,0,2,0,0,2,0,13
600,25,1,1,0,2,1,4,0,359,2,0,0,2,0,0,40
2100,35,2,1,0,0,0,0,0,247,0,0,0,0,0,0,40
2100,45,1,1,0,2,1,5,0,305,1,0,0,1,1,0,63
2400,55,1,0,2,3,3,0,0,724,0,1,0,0,1,0,72
1200,55,5,0,1,3,1,2,0,1219,0,1,0,0,1,0,26
2700,45,2,1,2,2,0,4,0,605,0,1,0,0,1,0,68
1800,25,2,0,1,2,2,2,1,1057,1,3,0,1,3,0,157
2400,15,1,0,0,2,2,5,0,350,0,0,0,0,0,0,175
900,35,3,0,3,0,1,1,1,926,3,0,0,3,0,0,48
900,45,2,1,1,0,2,0,0,596,1,1,0,1,1,0,22
3000,25,1,1,0,1,1,5,0,892,1,1,0,1,1,0,162
2100,45,3,0,0,0,3,4,0,336,0,0,0,0,0,0,35
1200,45,1,1,1,1,0,5,0,1355,1,0,0,1,0,0,33
2100,35,3,0,3,1,1,3,0,583,0,2,0,0,2,0,80
1200,45,2,0,2,1,1,2,0,552,0,4,0,0,4,0,52
300,15,2,1,0,1,0,1,0,658,0,1,0,0,1,0,16
1500,25,1,0,1,4,1,5,0,1085,1,2,0,2,2,0,148
1200,55,2,1,0,1,2,0,0,836,2,1,0,2,1,0,32
2700,45,1,0,1,1,1,3,0,398,0,3,0,0,3,0,104
