"lengthFeet","speedLimit","numLanes","dividedTraffic","trafficLights","stopSigns","pedCrossings","dayOfWeek","holiday","timeOfDayMinutes","cloudWeather","cloudTraffic","cloudEvent","localWeather","localTraffic","localEvent","actualTravelTimeSeconds"
1800,35,3,0,3,0,0,0,0,631,0,0,0,0,0,0,45
3000,35,1,0,0,1,1,0,0,386,1,0,0,1,0,0,104
1200,25,2,1,1,1,1,0,0,652,0,0,0,1,0,0,52
2400,35,1,1,0,1,2,1,0,368,4,0,0,4,1,0,154
2700,45,2,0,0,2,0,5,0,538,4,1,0,4,1,0,148
2700,25,2,1,1,0,0,5,0,1053,0,1,0,0,1,0,80
2700,55,2,0,0,1,0,2,0,980,1,3,0,1,3,0,91
2400,55,1,1,0,0,0,5,0,699,0,2,0,0,2,0,46
1800,15,1,0,1,0,1,0,0,503,0,4,0,0,4,0,223
900,55,2,1,1,1,0,5,0,464,1,1,0,1,1,0,20
2100,25,4,0,0,3,1,5,0,530,0,4,0,0,4,0,160
1200,35,1,0,0,1,1,4,0,940,3,2,0,3,2,0,83
1500,25,2,1,2,3,0,6,0,903,1,2,0,1,2,0,114
300,15,1,1,1,0,1,3,0,1211,0,0,0,0,0,0,14
300,45,3,1,1,0,1,1,0,592,2,2,0,2,2,0,9
600,25,1,1,1,1,0,0,0,1162,1,0,0,1,0,0,29
3000,15,1,1,1,1,1,1,0,785,0,2,0,0,2,0,272
1200,15,4,0,1,0,0,3,0,634,1,1,0,1,1,0,86
2700,55,1,1,1,1,2,0,0,612,1,2,0,1,2,0,84
900,15,2,0,0,3,0,4,0,1010,0,3,0,0,3,0,110
1500,55,2,1,0,2,3,0,0,768,0,2,0,0,2,0,36
2100,25,3,1,1,0,1,5,0,972,0,2,0,0,2,0,76
900,55,2,0,1,1,1,1,0,1117,1,2,0,1,1,0,25
1800,25,1,1,0,1,2,5,0,660,1,1,0,1,1,0,100
2400,25,3,1,0,1,0,1,0,335,2,0,0,2,0,0,146
300,15,3,0,1,0,0,0,0,889,0,2,0,0,2,0,19
2100,45,2,0,1,1,0,1,0,425,1,3,0,1,3,0,88
2700,35,1,1,1,0,2,5,0,1091,0,1,0,0,1,0,72
300,25,2,1,0,1,1,5,0,892,1,1,0,1,1,0,14
3000,15,1,1,2,0,1,2,0,384,0,0,0,0,0,0,170
2100,55,2,0,0,1,5,3,0,1106,1,3,0,2,3,0,84
2700,15,1,0,3,1,3,4,0,875,1,0,0,1,0,0,269
1200,35,1,0,1,0,4,0,0,596,0,3,0,0,2,0,53
600,45,1,1,1,0,2,4,0,923,0,0,0,0,0,0,10
900,15,2,0,2,1,1,2,1,1104,0,3,0,0,2,0,92
1800,45,1,1,0,1,1,1,1,1064,3,3,0,3,3,0,102
2100,45,2,1,1,1,2,6,0,681,2,1,0,2,1,0,75
900,35,1,1,0,1,1,2,0,1056,3,3,0,3,3,0,64
300,45,1,1,0,1,0,5,0,1011,1,3,0,1,2,0,10
2400,45,5,1,1,0,3,4,0,945,1,3,0,1,3,0,70
1200,55,2,1,1,0,0,6,0,1045,2,1,0,2,1,0,29
1800,15,1,0,0,0,0,2,0,1001,3,2,0,3,3,0,284
600,55,1,0,1,0,2,5,0,396,1,1,0,1,1,0,14
1800,45,1,0,1,0,1,1,0,478,0,3,0,0,3,0,63
